Symbol,Name,Sector,Price,MarketCap,PE_Ratio,Dividend_Yield,Description
AAPL,Apple Inc.,Technology,175.50,2800000000000,28.5,0.5,Technology company that designs develops and sells consumer electronics computer software and online services
MSFT,Microsoft Corporation,Technology,420.30,3100000000000,32.1,0.7,Multinational technology corporation that produces computer software consumer electronics personal computers and related services
GOOGL,Alphabet Inc.,Technology,140.25,1750000000000,25.8,0.0,Multinational conglomerate that specializes in Internet-related services and products including online advertising technologies search engine cloud computing software and hardware
AMZN,Amazon.com Inc.,Consumer Discretionary,155.75,1600000000000,45.2,0.0,Multinational technology company focusing on e-commerce cloud computing digital streaming and artificial intelligence
TSLA,Tesla Inc.,Consumer Discretionary,245.80,780000000000,65.4,0.0,Electric vehicle and clean energy company that designs develops manufactures and sells electric vehicles energy generation and storage systems
JNJ,Johnson & Johnson,Healthcare,165.40,435000000000,15.8,2.9,Multinational corporation that develops medical devices pharmaceuticals and consumer packaged goods
PFE,Pfizer Inc.,Healthcare,28.90,162000000000,12.5,5.8,Multinational pharmaceutical and biotechnology corporation that develops and produces medicines and vaccines
JPM,JPMorgan Chase & Co.,Financial Services,185.20,540000000000,12.3,2.1,Multinational investment bank and financial services holding company headquartered in New York City
BAC,Bank of America Corporation,Financial Services,34.75,275000000000,11.8,2.8,Multinational investment bank and financial services holding company headquartered in Charlotte North Carolina
XOM,Exxon Mobil Corporation,Energy,115.60,485000000000,14.2,3.4,Multinational oil and gas corporation headquartered in Irving Texas
CVX,Chevron Corporation,Energy,158.90,295000000000,13.7,3.1,Multinational energy corporation engaged in every aspect of the oil natural gas and geothermal energy industries
KO,The Coca-Cola Company,Consumer Staples,62.15,268000000000,26.4,3.0,Multinational beverage corporation that manufactures markets and sells nonalcoholic beverage concentrates and syrups
PG,Procter & Gamble Co.,Consumer Staples,155.30,365000000000,24.8,2.4,Multinational consumer goods corporation that specializes in a wide range of personal health personal care and hygiene products
NVDA,NVIDIA Corporation,Technology,875.25,2150000000000,68.5,0.1,Multinational technology company that designs graphics processing units for the gaming and professional markets as well as system on a chip units for the mobile computing and automotive market
AMD,Advanced Micro Devices Inc.,Technology,142.80,230000000000,45.2,0.0,Multinational semiconductor company that develops computer processors and related technologies for business and consumer markets
META,Meta Platforms Inc.,Technology,485.75,1240000000000,24.3,0.4,Social media and technology company that develops products that help people connect find communities and grow businesses
NFLX,Netflix Inc.,Communication Services,445.20,198000000000,35.8,0.0,Streaming entertainment service with over 230 million paid memberships in more than 190 countries
DIS,The Walt Disney Company,Communication Services,95.40,174000000000,95.2,0.0,Diversified multinational mass media and entertainment conglomerate
V,Visa Inc.,Financial Services,245.80,520000000000,32.1,0.7,Multinational financial services corporation that facilitates electronic funds transfers throughout the world
MA,Mastercard Incorporated,Financial Services,385.60,365000000000,28.9,0.5,Multinational financial services corporation that processes payments between the banks of merchants and the card-issuing banks
WMT,Walmart Inc.,Consumer Staples,158.75,430000000000,26.8,1.7,Multinational retail corporation that operates a chain of hypermarkets discount department stores and grocery stores
HD,The Home Depot Inc.,Consumer Discretionary,325.40,335000000000,22.5,2.4,Home improvement retailer that sells tools construction products appliances and services
UNH,UnitedHealth Group Incorporated,Healthcare,485.90,460000000000,24.2,1.3,Diversified health care company that provides health care coverage and benefits services
INTC,Intel Corporation,Technology,45.80,195000000000,15.2,1.5,Multinational corporation and technology company that designs manufactures and sells computer components and related products
IBM,International Business Machines Corporation,Technology,145.60,135000000000,18.7,4.8,Multinational technology corporation that produces and sells computer hardware middleware and software
